 ( 0.39574246391875789     , 8.64960397500169620E-004)
 (-0.92272057899825910     ,-0.91656714952780050     )
 ( 0.11759638488413060     ,-0.29962625203712179     )
 ( 0.90382695702586346     ,-0.25045104802183715     )
 ( 0.33224741301423677     ,-0.29023922021963955     )
 ( 0.65236428767226329     , 0.88006789054991685     )
 (-0.71063568258907850     ,-0.83185111795729227     )
 (-0.34365925382227402     , 0.46122533684552280     )
 (-0.58001341115969041     ,-7.88448775700842930E-002)
 ( 2.35365551195272360E-002, 0.50199741826434519     )
 (-0.83372960450194711     , 0.49584670416219723     )
 (-0.24152436534510713     , 0.69362138226806991     )
 (-0.88483768202772950     , 0.35205915997209303     )
 ( 0.12335652961879617     ,-0.64937064539623890     )
 (-0.57815738549718532     , 0.91445039641074999     )
 (-0.64556853658533697     , 0.53173541764868304     )
 (-0.88907789838012974     , 0.25047346507528090     )
 (-0.94626406125806994     , 0.11559470089348878     )
 (-3.21139952072968526E-003,-0.19370458023400516     )
 ( 0.98265699856377609     ,-0.50661445137274796     )
 ( 0.25511779569628601     , 0.90025675725416221     )
 ( 0.49246473532772228     , 0.55453960918469392     )
 ( 0.81632678121402336     , 0.88144323426285354     )
 (-0.53894360768882876     , 0.52594737566283101     )
 (-0.42540597327306529     ,-0.20598319556473399     )
 ( 0.51321293807333035     , 0.34578579981114643     )
 (-0.12606551158567214     , 0.47581252648682693     )
 ( 0.75708181335433977     ,-0.39706240115373959     )
 ( 0.93164060922313041     ,-0.68295894159076198     )
 (-0.32918585062819972     , 0.26898627923895191     )
 (-0.99988349332645754     ,-0.90857072748350021     )
 (-0.35626236267572864     ,-0.26583578793174212     )
 (-0.51331876985441482     ,-0.34752789770517012     )
 (-0.33542510897931521     ,-0.10140918866574822     )
 ( 0.40823508483892823     ,-0.20865553555973548     )
 ( 0.52845908791399410     ,-0.24214851033202223     )
 (-0.96029183391724615     ,-0.26487951186039282     )
 ( 0.60329139842675517     , 0.17462309517389230     )
 (-0.86712007459320972     , 0.80395582857226344     )
 ( 0.67776571931570828     ,-0.91216453131296049     )
 ( 0.47141029876902252     ,-0.55150495721762383     )
 (-0.14340698606819302     , 0.64495910252406219     )
 ( 0.74969416756996310     , 0.68365736349255002     )
 ( 0.14652763059151397     ,-0.35638687014597537     )
 ( 0.90337919456774074     , 0.87681822010232935     )
 ( 0.68816881988455947     ,-0.14701647188810085     )
 ( 0.28900987954263968     , 0.61692802603646868     )
 ( 5.66198026027322499E-002,-0.50428401957555735     )
 ( 0.84521551354409752     , 0.29098157777990963     )
 ( 0.32737165208364871     ,-0.72581119418493500     )
 (-0.97091592421245565     ,-4.48416066417465231E-002)
 ( 0.45567744812282029     ,-0.68643375799883444     )
 ( 0.49479551375284103     ,-0.33541604330560659     )
 ( 0.84663113421671454     , 0.38496864389428964     )
 ( 0.87816377477044938     ,-0.20229837080615454     )
 ( 0.82260276575888014     , 0.50766134646033123     )
 ( 0.50639491636584211     , 0.88338244108319230     )
 ( 0.17304487392058121     , 0.87654553239388378     )
 (-0.67195388713296467     ,-0.55917741755207118     )
 ( 0.37241098830676123     ,-0.98738005689228459     )
 ( 0.93980489726450145     ,-0.57132632241212633     )
 ( 0.77345446108753180     ,-0.29334082416477969     )
 (-0.51476296995290483     ,-0.24959365376981424     )
 (-0.35105888383524331     , 0.96231012019057260     )
 ( 0.75201247072200061     ,-0.81768936868810016     )
 ( 1.32504090426763810E-002,-0.38866969567181542     )
 (-0.54075045703891789     , 8.47510546577012747E-003)
 (-0.52010577356910659     , 6.29680438899455908E-002)
 (-0.90854496919960326     , 0.11824735701508615     )
 ( 0.90008767921741395     ,-0.12129818377440671     )
 (-0.58897987894599879     , 0.52574960120499981     )
 ( 0.20459974830881578     ,-0.72509728208155622     )
 ( 0.80329631608756102     , 1.26918635697776949E-002)
 ( 0.88463092994398806     ,-0.38335329455441780     )
 ( 0.83785918133164472     , 0.30467903975726784     )
 (-0.82915240455273675     ,-0.53192993315150972     )
 (-4.73914366010390609E-002,-7.78653501962551786E-002)
 (-0.39861387000386372     , 0.42551972658696258     )
 (-0.80521078259582879     ,-0.72044922522582766     )
 (-0.16693845416185837     ,-0.97851295370396230     )
 ( 0.82078311606928622     ,-0.95429201014520260     )
 (-0.10638732249916671     ,-0.68288274903745361     )
 (-0.27443842156797160     , 0.15247859040686507     )
 (-0.62997324010181188     , 0.89114398308475273     )
 (-0.27107074754108140     ,-0.29448145383788216     )
 ( 0.17724766484612786     ,-9.94027333245597333E-002)
 (-0.59991958640078025     ,-0.41374408633738113     )
 (-0.42367817264076990     ,-0.52423915148433053     )
 (-0.80954149969975475     ,-0.45421661178068717     )
 ( 0.15971143021007350     , 0.28579897586330816     )
 (-0.87160020226108514     , 0.50724778408561377     )
 (-0.13245676640796233     , 0.66442066786731147     )
 ( 0.29348920250881605     ,-0.33121300478581617     )
 ( 0.14040103633575285     ,-0.16591105776439719     )
 (-5.51024462635965051E-002, 0.51368290888694190     )
 (-0.42465236401123008     , 0.75480076925128259     )
 (-0.13785639991565546     , 0.29286432068021639     )
 ( 0.58061581717739585     ,-0.18345175797123403     )
 ( 0.62966678733439352     ,-0.12310536835116892     )
 (-0.70572515897098498     ,-0.51458992505167345     )
 (-0.15575280227344734     ,-0.36519750271521190     )
 (-0.65840336695740831     ,-0.78099742849560272     )
 ( 0.25760364996565244     , 0.36524714272808723     )
 (-0.12174812734557605     ,-0.77007186165014474     )
 (-0.47862232220914080     ,-0.91375874012090463     )
 ( 0.95029797485559442     , 0.36308476411539203     )
 (-0.56089265476200723     ,-0.88732924051624451     )
 ( 0.77061602257693806     , 0.45642912962994586     )
 ( 0.53564812820891206     , 0.37083966493479892     )
 (-0.53655044183327760     ,-0.30779332953495242     )
 ( 0.53974589469660117     ,-4.08239554599987287E-003)
 ( 0.68743227314561040     , 0.85896147327280659     )
 ( 0.37604684999896421     , 0.23616418449238807     )
 (-3.85984524671485474E-002,-0.99899514581586146     )
 (-6.03213215112887724E-002, 0.47683650960720314     )
 (-0.74018201660297933     , 0.12364134058071130     )
 (-0.13440649000890659     ,-0.64855924725373626     )
 (-0.58581494810599821     ,-0.43348794314903927     )
 ( 0.41706426655562012     , 0.60815347479228166     )
 ( 7.69252289142841050E-002, 9.61057002874028399E-002)
 ( 0.33900890439226572     , 0.44950084339154017     )
 (-0.37684296842898135     , 6.89938850793438974E-002)
 (-0.98688044402295105     , 0.89343150851322406     )
 (-0.34283131388034604     ,-0.82814186959803493     )
 ( 0.59903309881624267     , 0.36843915585756548     )
 (-0.84746374249065326     , 0.87007767289963311     )
 (-0.74006626990715318     , 0.93407117915284488     )
 (-0.78877554837428221     , 3.57280944081637131E-002)
 ( 0.38796421040333229     ,-0.48431201144683911     )
 (-0.37392553660610162     , 0.14548797255763901     )
 ( 0.42557805502703872     ,-0.71159929522924159     )
 ( 0.64626268727018754     ,-0.56864811505574409     )
 ( 9.42759765498379920E-003, 0.39440087724857875     )
 ( 0.47504433126001544     ,-0.45060937314344329     )
 ( 0.45449002923921711     , 0.71009190960057111     )
 (-0.90318551854071671     ,-0.55372906191173143     )
 ( 0.88382272360822611     , 0.19922557671917929     )
 (-0.81533654877447503     , 0.51703487616685351     )
 (-0.44545209827172272     ,-7.46741246287072613E-002)
 (-0.64638918255528921     ,-0.14706927862625463     )
 (-0.78066754202504995     ,-0.89426603622417389     )
 (-0.70298910403111137     , 0.99207045322912535     )
 (-9.43109254865035496E-002,-0.64968038442203380     )
 ( 0.89766903915923280     , 0.35055089866096267     )
 ( 0.62881708387103430     ,-0.25503606019299951     )
 (-0.11056944942155411     , 0.29460411887492199     )
 (-0.26163659498204339     ,-0.35698739917348377     )
 (-0.16716029476416594     , 0.10752497498861402     )
 (-0.57864722523968481     , 0.47171591095763432     )
 (-4.16471616022491276E-002,-0.97425240820945902     )
 (-0.94645007602068887     , 0.72489946337781674     )
 (-0.15403577816451985     ,-0.19130487546903652     )
 ( 0.44561180723840010     ,-0.59756607593033806     )
 (-0.90059601650799692     ,-0.66590367455120969     )
 (-0.47049701548710487     , 0.90118270901597697     )
 ( 0.40973114490846996     , 0.46653540478546773     )
 (-0.23928072471867523     ,-0.18431096349070941     )
 ( 8.56094503605717705E-002, 0.54926608533371990     )
 ( 0.68383135795217953     , 0.94960676436584635     )
 ( 0.77925654251438203     ,-0.44003593988413314     )
 (-0.94134142841594581     , 0.37546999800598968     )
 (-0.59356429847938585     , 0.11730177958332177     )
 ( 0.13295129209156897     , 0.54052218778473815     )
 ( 0.91935130782561458     , 0.61919311777574393     )
 (-0.33926459838617262     ,-0.24532617737180118     )
 ( 0.54135191358678725     ,-4.75395038248009882E-002)
 (-0.18560795254345663     , 9.29163719533718790E-002)
 (-0.66462418656048072     ,-0.82028902046244667     )
 (-0.94095240399665414     , 0.60337632902075455     )
 (-0.29746920752794637     ,-0.25044180021979656     )
 ( 0.31086992722614326     , 0.16333456629103438     )
 ( 0.86651979762412878     , 8.31812120521178144E-002)
 ( 0.37234548690880587     , 0.42365022702903588     )
 ( 0.99224512833458078     ,-0.51924295859095793     )
 (-6.15156835672010516E-002, 0.70680254731995973     )
 ( 0.83628287312247807     , 0.40772823906359434     )
 ( 0.73410511395777434     , 0.77988582883482849     )
 (-0.61854576910426573     ,-0.76964226602314767     )
 ( 3.48267460645033111E-002, 4.10497651039278821E-002)
 (-0.45913145085948059     , 0.86476813860490864     )
 ( 0.52907402541190862     ,-0.60924303727109219     )
 (-0.37298811424583533     ,-0.29915105308925405     )
 ( 0.90623149769432843     , 8.75192938860820391E-002)
 ( 0.89214215714363121     , 0.30423024829865852     )
 (-0.45701305983048002     , 1.61621676453407304E-002)
 (-0.79413502767901178     ,-0.84684682707467829     )
 ( 0.16683376426228591     , 0.45483841505096478     )
 (-0.88225942891327946     ,-0.97529721811151404     )
 ( 0.48858603623298080     , 0.66965874658250613     )
 (-0.44445061599893876     , 0.22369602009114686     )
 ( 0.72553888263453103     ,-0.82738883946422703     )
 (-0.24314088729708061     , 0.88972316012591790     )
 (-0.98048186873402443     ,-0.44590524296416589     )
 ( 0.37122739124534831     , 0.99061338232120733     )
 (-0.54955634643508944     , 0.37558164481583134     )
 (-0.22382146752412524     ,-0.19387874086232415     )
 ( 0.24211852086559560     , 0.23533151656726403     )
 ( 0.42044808809938417     , 0.84109844140032664     )
 (-0.43631173531614564     , 0.98040451358928493     )
